sample_id	plant_height	seed_weight	protein_content	very_long_trait_name_related_to_seed_weight_under_stress	flowering_time	flower_color
S01	40.04	18.60	36.69	0.672	51.70	white
S02	40.84	16.75	37.56	0.614	51.02	white
S03	45.87	18.54	35.55	0.573	52.05	white
S04	42.00	18.56	36.40	0.635	50.65	white
S05	39.90	17.17	36.23	0.566	53.04	white
S06	40.97	19.17	36.17	0.622	49.76	white
S07	41.29	19.36	35.41	0.655	49.91	white
S08	38.16	17.84	34.98	0.621	49.36	white
S09	45.93	18.87	35.91	0.556	52.99	white
S10	43.99	19.14	35.22	0.608	48.66	white
S11	37.42	19.16	35.66	0.583	48.21	white
S12	40.56	18.47	35.77	0.668	50.05	white
S13	42.84	18.56	35.62	0.625	49.52	white
S14	39.11	18.30	36.54	0.539	49.17	white
S15	39.18	18.55	35.58	0.556	52.13	white
S16	45.97	18.67	36.66	0.576	51.20	white
S17	39.10	17.76	35.29	0.560	49.93	white
S18	42.84	17.87	35.63	0.586	50.25	white
S19	40.58	19.11	35.39	0.601	50.55	white
S20	39.83	18.96	35.24	0.699	47.43	white
S21	53.74	19.22	34.72	0.746	53.43	purple
S22	50.35	20.70	34.61	0.708	54.29	purple
S23	45.29	19.35	34.34	0.727	52.91	purple
S24	53.25	21.00	34.05	0.719	55.72	purple
S25	49.62	21.29	33.21	0.797	53.95	purple
S26	49.80	21.38	34.86	0.808	54.80	purple
S27	53.76	19.62	35.50	0.755	55.09	purple
S28	50.14	21.25	35.35	0.720	53.26	purple
S29	52.79	20.49	35.05	0.773	56.94	purple
S30	53.82	23.07	35.47	0.733	55.17	purple
S31	53.55	20.26	35.35	0.732	53.65	purple
S32	51.78	23.60	35.47	0.732	53.46	purple
S33	51.18	21.67	34.33	0.753	51.94	purple
S34	51.78	20.19	35.01	0.698	53.75	purple
S35	49.16	21.11	34.77	0.711	55.24	purple
S36	55.15	18.01	34.20	0.741	54.80	purple
S37	55.55	21.15	33.54	0.772	53.63	purple
S38	50.44	20.29	33.92	0.771	55.33	purple
S39	48.10	22.22	32.60	0.741	57.93	purple
S40	51.41	20.82	33.61	0.727	55.41	purple
S41	58.40	23.43	32.09	0.895	58.62	pink
S42	56.83	23.48	32.50	0.855	58.28	pink
S43	58.82	23.49	33.36	0.871	59.13	pink
S44	58.96	24.59	32.70	0.854	59.45	pink
S45	57.89	25.37	31.95	0.959	58.00	pink
S46	61.87	25.45	32.11	0.915	61.83	pink
S47	60.91	23.82	33.44	0.816	57.43	pink
S48	62.24	22.71	33.02	0.894	56.98	pink
S49	60.25	22.94	32.33	0.875	59.31	pink
S50	61.88	24.33	33.58	0.811	60.20	pink
S51	57.48	23.67	31.83	0.880	56.00	pink
S52	60.18	23.72	33.02	0.852	59.30	pink
S53	58.29	22.77	33.56	0.834	57.32	pink
S54	55.29	21.99	33.24	0.856	59.57	pink
S55	61.31	22.24	33.81	0.883	58.69	pink
S56	61.85	24.06	32.56	0.841	60.42	pink
S57	59.81	23.85	32.89	0.816	59.50	pink
S58	59.92	22.31	33.22	0.886	58.68	pink
S59	60.51	23.59	33.15	0.898	56.12	pink
S60	57.95	23.49	33.03	0.865	57.95	pink
