sample_id	seed_weight	protein_content	plant_height	flowering_time	flower_color
S19	28.8	43.58	106.2	43	Purple
S01	18.8	37.58	98.2	43	Purple
S28	26.8	43.58	104.2	43	Purple
S10	20.8	37.58	100.2	43	Purple
S20	29.2	43.72	106.8	44	White
S02	19.2	37.72	98.8	44	White
S29	27.2	43.72	104.8	44	White
S11	21.2	37.72	100.8	44	White
S21	29.6	43.86	107.4	45	Purple
S03	19.6	37.86	99.4	45	Purple
S30	27.6	43.86	105.4	45	Purple
S12	21.6	37.86	101.4	45	Purple
S22	30	44	108	46	White
S04	20	38	100	46	White
S31	28	44	106	46	White
S13	22	38	102	46	White
S23	30.4	44.14	108.6	47	Purple
S05	20.4	38.14	100.6	47	Purple
S32	28.4	44.14	106.6	47	Purple
S14	22.4	38.14	102.6	47	Purple
S24	30.8	44.28	109.2	44	White
S06	20.8	38.28	101.2	44	White
S33	28.8	44.28	107.2	44	White
S15	22.8	38.28	103.2	44	White
S25	31.2	44.42	109.8	45	Purple
S07	21.2	38.42	101.8	45	Purple
S34	29.2	44.42	107.8	45	Purple
S16	23.2	38.42	103.8	45	Purple
S26	29.4	43.79	107.1	46	White
S08	19.4	37.79	99.1	46	White
S35	27.4	43.79	105.1	46	White
S17	21.4	37.79	101.1	46	White
S27	30.6	44.21	108.9	45	Purple
S09	20.6	38.21	100.9	45	Purple
S36	28.6	44.21	106.9	45	Purple
S18	22.6	38.21	102.9	45	Purple
