sample_id	core_haplotype	hap_group	within_group
S01	DesignHap1	1	1
S02	DesignHap1	1	2
S03	DesignHap1	1	3
S04	DesignHap1	1	4
S05	DesignHap1	1	5
S06	DesignHap1	1	6
S07	DesignHap1	1	7
S08	DesignHap1	1	8
S09	DesignHap1	1	9
S10	DesignHap2	2	1
S11	DesignHap2	2	2
S12	DesignHap2	2	3
S13	DesignHap2	2	4
S14	DesignHap2	2	5
S15	DesignHap2	2	6
S16	DesignHap2	2	7
S17	DesignHap2	2	8
S18	DesignHap2	2	9
S19	DesignHap3	3	1
S20	DesignHap3	3	2
S21	DesignHap3	3	3
S22	DesignHap3	3	4
S23	DesignHap3	3	5
S24	DesignHap3	3	6
S25	DesignHap3	3	7
S26	DesignHap3	3	8
S27	DesignHap3	3	9
S28	DesignHap4	4	1
S29	DesignHap4	4	2
S30	DesignHap4	4	3
S31	DesignHap4	4	4
S32	DesignHap4	4	5
S33	DesignHap4	4	6
S34	DesignHap4	4	7
S35	DesignHap4	4	8
S36	DesignHap4	4	9
