transcript_id	gene_id	is_primary	rnaseq_weight	riboseq_weight
TxD1	GeneD	TRUE	10	4
TxE1	GeneE	TRUE	12	5
TxF1	GeneF	TRUE	9	4
TxG1	GeneG	TRUE	8	3.5
TxH1	GeneH	TRUE	7	3
TxA1	GeneA	TRUE	20	10
TxA2	GeneA	FALSE	8	0
TxB1	GeneB	TRUE	18	9
TxB2	GeneB	FALSE	6	0
TxC1	GeneC	TRUE	13	6
TxI1	GeneI	TRUE	9	0
TxJ1	GeneJ	TRUE	11	5
TxN1	GeneN	TRUE	10	4
TxO1	GeneO	TRUE	8	3.5
TxP1	GeneP	TRUE	9	4
TxK1	GeneK	TRUE	16	8
TxK2	GeneK	FALSE	5	0
TxL1	GeneL	TRUE	14	7
TxL2	GeneL	FALSE	5	0
TxM1	GeneM	TRUE	12	5
TxQ1	GeneQ	TRUE	8	3.5
TxR1	GeneR	TRUE	10	4.5
TxS1	GeneS	TRUE	7	0
TxT1	GeneT	TRUE	11	5
