gene_id	chrom	strand	gene_start	gene_end	gene_type
GeneD	chr1	+	1000001	1008000	protein_coding
GeneE	chr1	+	3000001	3009000	protein_coding
GeneF	chr1	-	5000001	5010000	protein_coding
GeneG	chr1	+	7000001	7007000	protein_coding
GeneH	chr1	-	9000001	9009000	protein_coding
GeneA	chr1	+	12340001	12352000	protein_coding
GeneB	chr1	-	12356001	12366500	protein_coding
GeneC	chr1	+	12369001	12374500	protein_coding
GeneI	chr1	+	15000001	15006000	lncRNA
GeneJ	chr1	-	20000001	20009000	protein_coding
GeneN	chr2	+	2000001	2008000	protein_coding
GeneO	chr2	-	4000001	4009000	protein_coding
GeneP	chr2	+	6000001	6007000	protein_coding
GeneK	chr2	+	8500001	8512000	protein_coding
GeneL	chr2	-	8508001	8521000	protein_coding
GeneM	chr2	+	8524001	8530000	protein_coding
GeneQ	chr2	-	10000001	10009000	protein_coding
GeneR	chr2	+	12000001	12008000	protein_coding
GeneS	chr2	-	14000001	14006000	lncRNA
GeneT	chr2	+	16995001	17006000	protein_coding
