transcript_id	gene_id	chrom	strand	tx_start	tx_end	cds_start	cds_end	exon_starts	exon_ends	gene_type
TxD1	GeneD	chr1	+	1000001	1008000	1000201	1007800	1000001,1003551,1007001	1000900,1004450,1008000	protein_coding
TxE1	GeneE	chr1	+	3000001	3009000	3000201	3008800	3000001,3004051,3008001	3000900,3004950,3009000	protein_coding
TxF1	GeneF	chr1	-	5000001	5010000	5000201	5009800	5000001,5004551,5009001	5000900,5005450,5010000	protein_coding
TxG1	GeneG	chr1	+	7000001	7007000	7000201	7006800	7000001,7003051,7006001	7000900,7003950,7007000	protein_coding
TxH1	GeneH	chr1	-	9000001	9009000	9000201	9008800	9000001,9004051,9008001	9000900,9004950,9009000	protein_coding
TxA1	GeneA	chr1	+	12340001	12352000	12340501	12351500	12340001,12342001,12344001,12350001	12341000,12343000,12345200,12352000	protein_coding
TxA2	GeneA	chr1	+	12340001	12352000	12340501	12351500	12340001,12342501,12344001,12350001	12340800,12343500,12345200,12352000	protein_coding
TxB1	GeneB	chr1	-	12356001	12366500	12356501	12366000	12356001,12359001,12362001,12365001	12357500,12360000,12363000,12366500	protein_coding
TxB2	GeneB	chr1	-	12356001	12366500	12356501	12366000	12356001,12359501,12362001,12365001	12357500,12360500,12363000,12366500	protein_coding
TxC1	GeneC	chr1	+	12369001	12374500	12369201	12374200	12369001,12371501,12373501	12370000,12372500,12374500	protein_coding
TxI1	GeneI	chr1	+	15000001	15006000			15000001,15002551,15005001	15000900,15003450,15006000	lncRNA
TxJ1	GeneJ	chr1	-	20000001	20009000	20000201	20008800	20000001,20004051,20008001	20000900,20004950,20009000	protein_coding
TxN1	GeneN	chr2	+	2000001	2008000	2000201	2007800	2000001,2003551,2007001	2000900,2004450,2008000	protein_coding
TxO1	GeneO	chr2	-	4000001	4009000	4000201	4008800	4000001,4004051,4008001	4000900,4004950,4009000	protein_coding
TxP1	GeneP	chr2	+	6000001	6007000	6000201	6006800	6000001,6003051,6006001	6000900,6003950,6007000	protein_coding
TxK1	GeneK	chr2	+	8500001	8512000	8500301	8511500	8500001,8503501,8508001	8501200,8504700,8512000	protein_coding
TxK2	GeneK	chr2	+	8500001	8512000	8500301	8511500	8500001,8505201,8508001	8501200,8506100,8512000	protein_coding
TxL1	GeneL	chr2	-	8508001	8521000	8508501	8520500	8508001,8511801,8516501,8519501	8509500,8513000,8517800,8521000	protein_coding
TxL2	GeneL	chr2	-	8508001	8521000	8508501	8520500	8508001,8513001,8516501,8519501	8509500,8514200,8517800,8521000	protein_coding
TxM1	GeneM	chr2	+	8524001	8530000	8524301	8529700	8524001	8530000	protein_coding
TxQ1	GeneQ	chr2	-	10000001	10009000	10000201	10008800	10000001,10004051,10008001	10000900,10004950,10009000	protein_coding
TxR1	GeneR	chr2	+	12000001	12008000	12000201	12007800	12000001,12003551,12007001	12000900,12004450,12008000	protein_coding
TxS1	GeneS	chr2	-	14000001	14006000			14000001,14002551,14005001	14000900,14003450,14006000	lncRNA
TxT1	GeneT	chr2	+	16995001	17006000	16995301	17005500	16995001,16998501,17004001	16996500,16999500,17006000	protein_coding
